ref,book_osis,chapter,verse_start,verse_end,kjv_text,cuvs_text,has_commentary,summary_en,summary_zh,bullet_points_en,bullet_points_zh,sources,evidence,model,prompt_version,created_at,status,error,keep_drop,my_edit_en,my_edit_zh,notes
1Cor 4:3,1Cor,4,3,3,,我被你們論斷，或被別人論斷，我都以為極小的事；連我自己也不論斷自己。,1,"The paragraph notes that in New Testament usage “the day” is often associated with judgment and can function as a synonym for judgment. 1 Corinthians 4:3 is cited as an example of this usage, where Paul’s phrase rendered “man’s judgment” reflects the idiom of “day” meaning a judicial evaluation.",该段指出，新约中“那日/主的日子”常与审判相关，几乎成为“审判”的同义词。林前4:3被作为此用法的例证：保罗所说“人的审判”（可理解为“人的日子”）体现“日子”用来表示审判/裁判的语义。,"[""In the NT, “the day” frequently denotes judgment."", ""1 Corinthians 4:3 exemplifies this: “man’s judgment” reflects the idiom where “day” means a judicial assessment.""]","[""在新约中，“那日/主的日子”常用来指审判。"", ""林前4:3就是例证：“人的审判”体现“日子”可表示法庭式的评判。""]",ent — https://www.biblicaltheology.org/ent.pdf,"- para_id=166, p_index=10: Links the NT term “day” with judgment and explicitly cites 1 Cor 4:3 as an example.",,,,,,,,,
  ent | https://www.biblicaltheology.org/ent.pdf,,,,,,,,,,,,,,,,,,,,,,
  V. The Parousia 1. Definition: The word denotes “coming,” “arrival.” It is never applied to the incarnation of Christ, and could be applied to His second coming only, partly because it had already become a fixed Messianic term," partly because there was a point of view from which the future appearance of Jesus appeared the sole adequate expression of His Messianic dignity and glory. The explicit distinction between “first advent” and “second advent” is not found in the New Testament. It occurs in …""",gpt-5,v1,2025-12-16T06:11:09-05:00,ok,,,,,,,,,,,,,,
1Cor 4:3-5,1Cor,4,3,5,,3. 我被你們論斷，或被別人論斷，我都以為極小的事；連我自己也不論斷自己。,,,,,,,,,,,,,,,,
4. 我雖不覺得自己有錯，卻也不能因此得以稱義；但判斷我的乃是主。,,,,,,,,,,,,,,,,,,,,,,
"5. 所以，時候未到，甚麼都不要論斷，只等主來，他要照出暗中的隱情，顯明人心的意念。那時，各人要從神那裏得着稱讚。""",1,"The excerpt uses 1 Corinthians 4:3-5 as a proof-text that, in New Testament eschatology, God is the judge in the final, definite judgment associated with Christ’s parousia. It situates Paul’s statement “the Lord judges me” within the broader NT theme that judgment belongs to God (and also, in other texts, to Christ).",该段将林前4:3-5用作证据，表明新约末世论认为最终审判是在主再来时发生的、由神施行的定案式审判。作者把保罗“判断我的乃是主”的话置于新约更广的主题中：审判属于神（并且在其他经文中也归于基督）。,"[""Judgment is a definite event tied to Christ’s parousia, not an ongoing process."", ""In this framework, 1 Cor 4:3-5 supports that God is the judge who will expose hidden things and render praise or verdict."", ""NT also attributes judgment to Christ in other passages, integrating both themes.""]","[""审判是与主的再来相连的一个确定事件，而非持续过程。"", ""在此脉络下，林前4:3-5支持“神是审判者”，祂要揭露隐藏之事并施行称赞或裁决。"", ""新约在其他经文中也把审判权归于基督，二者被整合于同一末世图景。""]",ent — https://www.biblicaltheology.org/ent.pdf,"- para_id=190, p_index=34: Lists 1 Cor 4:3-5 under texts showing that God is the judge in the final judgment linked to the parousia.",,,,,,,,,,,,,,,
  ent | https://www.biblicaltheology.org/ent.pdf,,,,,,,,,,,,,,,,,,,,,,
  VIII. The Judgment The judgment takes place on a “day” (Matthew 7:22; 10:15; 24:36; Luke 10:12; 21:34; 1 Corinthians 1:8; 3:13; 2 Timothy 4:8; Revelation 6:17), but this rests on the Old Testament conception of “the day of Yahweh,” and is not to be taken literally, whence also “hour” interchanges with “day” (Mark 13: 32; Revelation 14:7). While not confined to an astronomical day the judgment is plainly represented as a definitely circumscribed transaction," not as an indefinite process. It coinc …""",gpt-5,v1,2025-12-16T06:11:46-05:00,ok,,,,,,,,,,,,,,
1Cor 4:5,1Cor,4,5,5,,所以，時候未到，甚麼都不要論斷，只等主來，他要照出暗中的隱情，顯明人心的意念。那時，各人要從神那裏得着稱讚。,1,"The excerpt uses 1 Corinthians 4:5 to support that at the final judgment even believers’ works will be evaluated. The last judgment is not nullified by justification; rather, it is a public assize that vindicates God, revealing and assessing works and motives, with the possibility of disapproval of some works yet salvation, and with gracious reward measured according to works rooted in faith. This coheres with 4:5’s theme that the Lord will bring hidden things to light and then each will receive praise from God.",该段引用林前4:5强调：末日审判将临到所有人，连信徒的行为也要受审察。因称义并不使末日审判多余；审判是公开的，为彰显神的公义，要显露隐情、察验动机与行为。即便有些行为被否定，信徒仍得救；赏赐是出于恩典且与信心所结出的“工作”相关。这与4:5所说主来时显明隐情、显露人心意念，并使各人从神得称赞相一致。,"[""1 Cor 4:5 is cited to affirm that believers’ works are included in the final judgment."", ""The last judgment is public and reveals hidden realities and motives, consistent with 4:5’s bringing to light and manifesting counsels of hearts."", ""Justification does not eliminate the need for a last judgment; evaluation of works serves the theodicy (God’s public vindication)."", ""Some works may be disapproved while the believer is saved, and rewards are gracious and tied to faith-produced work.""]","[""借林前4:5表明：信徒的行为也将被末日审判评估。"", ""末日审判是公开的，显露隐情与动机，这与4:5“照出暗中的隐情、显明人心的意念”相符。"", ""称义并不取消末日审判；按行为的评估旨在成就神的公义之昭示。"", ""即便有些行为被否定，信徒仍得救；赏赐出于恩典，与信心所结出的“工作”相关。""]",ent — https://www.biblicaltheology.org/ent.pdf,"- para_id=191, p_index=35: Explicitly lists 1 Cor 4:5 as evidence that believers’ works come under judgment and explains the nature and purpose of the last judgment (public, evaluative, rewarding).",,,,,,,,,
  ent | https://www.biblicaltheology.org/ent.pdf,,,,,,,,,,,,,,,,,,,,,,
  10). In the Fourth Gospel, it is true, He denies that His present activity involves the task of judging (John 8:15; 12:47). That this, however, does not exclude His eschatological judgeship appears from John 5:22, 27 (notice the article in 5:22 “the whole judgment,” which proves the reference to the last day). But even for the present, though not directly, yet indirectly by His appearance and message, Christ according to John effects a judgment among men (8:16; 9:39)," which culminates in His pas …""",gpt-5,v1,2025-12-16T06:12:41-05:00,ok,,,,,,,,
1Cor 4:20,1Cor,4,20,20,,因為神的國不在乎言語，乃在乎權能。,1,"Identifies 1 Corinthians 4:20 as one of the places where Paul uses “the kingdom of God” in a present sense (the believers’ current state), even though Paul more often uses “kingdom” eschatologically. It also notes that the future, eschatological kingdom will have outward, visible embodiment, yet its core is the same spiritual realities that already characterize the present kingdom.",将林前4:20视为保罗少数把“神的国”用作现实时态（指信徒当下所处的状态）的经文之一，尽管保罗通常以末世性意义使用“神的国”。同时指出：将来的末世性国度会有外在、可见的形态，但其核心仍是现今国度所具有的属灵实质。,"[""Paul usually speaks of the kingdom eschatologically, but sometimes of its present reality; 1 Cor 4:20 is cited as a present-kingdom usage."", ""The future kingdom will be outwardly manifested, yet its essence is the same spiritual realities that already define the present kingdom.""]","[""保罗多用“神的国”为末世性概念，但有时指当下的现实；林前4:20被列为现今国度的用例。"", ""将来的国度会外在显现，但其本质与现今国度相同，皆以属灵实质为核心。""]",ent — https://www.biblicaltheology.org/ent.pdf,"- para_id=194, p_index=38: Explicitly lists 1 Cor 4:20 among Pauline uses of “kingdom” in a present sense and explains the relation between present and eschatological aspects of the kingdom.",,,,,,,,,
  ent | https://www.biblicaltheology.org/ent.pdf,,,,,,,,,,,,,,,,,,,,,,
  Jesus, while making the kingdom a present reality, yet continues to speak of it in accordance with its original eschatological usage as “the kingdom” which lies in the future (Matthew 13:43; 25:34; 26:29; Mark 9:47; Luke 12:32; 13:28, 29; 21:31). With Paul the phrase bears preponderatingly an eschatological sense, although occasionally he uses it of the present state of believers (Romans 14: 17; 1 Corinthians 4:20; 6:9, 10; 15:24," 50; Galatians 5:21; Ephesians 5:5; Colossians 1:13; 4:11; 1 Thess …""",gpt-5,v1,2025-12-16T06:13:39-05:00,ok,,,,,,,,,,,,
1Cor 5:5,1Cor,5,5,5,,要把這樣的人交給撒但，敗壞他的肉體，使他的靈魂在主耶穌的日子可以得救。,1,"The excerpt cites 1 Cor 5:5 to show that the OT “day of Yahweh” becomes in the NT “the day of the Lord (Jesus),” indicating that Christ himself is the judge at the final, definite judgment coinciding with his parousia. Thus, in 1 Cor 5:5 the “day of the Lord Jesus” refers to the eschatological judgment day, not an ongoing process.",该段以林前5:5为证，说明旧约的“耶和华的日子”在新约中成为“主（耶稣）的日子”，表明基督亲自行使终末审判，并且审判与祂的再临同时发生、为一次明确的事件。因此，林前5:5中的“主耶稣的日子”指末世审判之日，而非持续的过程。,"[""1 Cor 5:5 supports that “the day of the Lord (Jesus)” is the eschatological judgment day under Christ’s judicial authority."", ""Judgment is a definite event that coincides with Christ’s parousia, rather than an ongoing process."", ""The NT ‘day’ language stems from the OT “day of Yahweh” and can interchange with ‘hour.’""]","[""林前5:5表明“主（耶稣）的日子”是基督掌权施行审判的末世之日。"", ""审判与基督再临同时发生，是一次明确的事件，而非持续的过程。"", ""新约中的“日子/时辰”用语承接自旧约“耶和华的日子”。""]",ent — https://www.biblicaltheology.org/ent.pdf,"- para_id=190, p_index=34: Explicitly lists 1 Cor 5:5 to support that the NT ‘day of the Lord’ refers to Christ as judge and that judgment is a definite event tied to the parousia.",,,,,,,,,
